name,state_name,city,state,zip_code,phone
A CHILD'S PLACE MONTESSORI SCHOOL,FLORIDA,JACKSONVILLE,FL ,32223,9042684050
A CHILD'S TOUCH,COLORADO,THORNTON,CO ,80229,3032868460
A CHILD'S WORLD,PENNSYLVANIA,LANGHORNE,PA ,19047,2159498900
A CHILD'S WORLD,NORTH DAKOTA,FARGO,ND ,58102,7012988047
A CHILDREN'S HABITAT MONTESSORI PRESCHOOL & KDGN,INDIANA,INDIANAPOLIS,IN ,46260,3177265584
A CHILDRENS PLACE LEARNING CENTER,PENNSYLVANIA,ALLENTOWN,PA ,18109,6102640440
A CHILDS GARDEN MONTESSORI SCHOOL,TEXAS,CARROLLTON,TX ,75006,9724462663
A CHILDS PLACE MONTESSORI,FLORIDA,JACKSONVILLE,FL ,32216,9047335797
A CHILDS VIEW PRESCHOOL,COLORADO,LAKEWOOD,CO ,80227,3039893961
A CHILDS WORLD,PENNSYLVANIA,DOYLESTOWN,PA ,18901,2153487200
A COUNTRY GARDEN MONTESSORI,WASHINGTON,ENUMCLAW,WA ,98022,3608258886
A DIFFERENT WORLD ACADEMY,LOUISIANA,HARVEY,LA ,70059,5043944644
A FANTIS PAROCHIAL SCHOOL,NEW YORK,BROOKLYN,NY ,11201,7186240501
A GENERATION AHEAD CHILD CARE/LEARNING CENTER,ILLINOIS,LISLE,IL ,60532,6302711025
A GROWING PLACE MONTESSORI SCHOOL,MISSOURI,SAINT LOUIS,MO ,63105,3148639493
A HABITAT FOR LEARNING,TEXAS,ABILENE,TX ,79606,3256922481
A JOYFUL NOISE LEARNING CENTER,CALIFORNIA,HAYWARD,CA ,94544,5107828593
A KID'S PLACE,VIRGINIA,HERNDON,VA ,20170,7034041595
A LITTLE COLLEGE AT ROYAL OAKS,FLORIDA,MIAMI LAKES,FL ,33016,3055109869
A MOTHER'S TOUCH CREATIVE LEARNING CENTER,ILLINOIS,ARLINGTON HEIGHTS,IL ,60004,8475777600
A NEW DAWN ELEMENTARY SCHOOL,NEW YORK,JAMAICA,NY ,11432,7182061500
A PLACE TO GROW,OHIO,DUBLIN,OH ,43017,6147931441
A SMALL WORLD,MARYLAND,OWINGS MILLS,MD ,21117,4103569290
A SMALL WORLD LEARNING CENTER IV,FLORIDA,HIALEAH,FL ,33013,7863182020
A STEP AHEAD PRESCHOOL,NEW JERSEY,NORTH BERGEN,NJ ,07047,2018695335
A STEP UP INC,RHODE ISLAND,EAST GREENWICH,RI ,02818,4018237837
A UNIQUE LEARNING ACADEMY,GEORGIA,LITHONIA,GA ,30058,7704848226
A WEE PROMISE CHRISTIAN PRESCHOOL & SCHOOL,FLORIDA,FORT MYERS,FL ,33919,2394819951
A WHIZZ KIDS PRESCHOOL INC II,ILLINOIS,CHICAGO,IL ,60617,7737680880
A WORLD OF CHILDREN,VIRGINIA,VIRGINIA BEACH,VA ,23452,7574680452
A WORLD OF CHILDREN,VIRGINIA,CHESAPEAKE,VA ,23322,7574366967
A WORLD OF HOPE CC LEARNING CTR,GEORGIA,GROVETOWN,GA ,30813,7068688955
A YOUNG CHILDRENS MONTESSORI ACADEMY,FLORIDA,CAPE CORAL,FL ,33914,2395409400
AARDVARK CHILD CARE & LEARNING CENTER,PENNSYLVANIA,GLEN MILLS,PA ,19342,6103588998
AARON SCHOOL,NEW YORK,NEW YORK,NY ,10017,2128679594
ABBEVILLE CHRISTIAN ACADEMY,ALABAMA,ABBEVILLE,AL ,36310,3345855100
ABBOTSFORD CHRISTIAN ACADEMY,WISCONSIN,ABBOTSFORD,WI ,54405,7152234445
ABBOTT HOUSE,SOUTH DAKOTA,MITCHELL,SD ,57301,6059962486
ABC 123 A CAT A ME,TEXAS,HOUSTON,TX ,77047,7137338365
ABC ACADEMY,ILLINOIS,CHICAGO,IL ,60645,7733381033
ABC ACADEMY,INDIANA,HOBART,IN ,46342,2199450767
ABC CHILDCARE CENTER,CALIFORNIA,TEMECULA,CA ,92591,9516995251
ABC CHILDCARE LEARNING CENTER,TEXAS,EL PASO,TX ,79927,9158597777
ABC CHILDREN'S LEARNING ACADEMY,FLORIDA,WEST PALM BEACH,FL ,33406,5169642800
ABC CHRISTIAN ACADEMY,FLORIDA,JACKSONVILLE,FL ,32209,9043530103
ABC DAYCARE & KINDERGARTEN,GEORGIA,AUGUSTA,GA ,30906,7067966455
ABC DAYCARE CENTER,NEW JERSEY,BRICK,NJ ,08723,7329207410
ABC ELEMENTARY SCHOOL,NEW JERSEY,JERSEY CITY,NJ ,07305,2014358326
ABC EXPRESS PRESCHOOL INC,NEW JERSEY,PITMAN,NJ ,08071,8565890826
ABC GROWING TREE,NEW JERSEY,MINE HILL,NJ ,07803,9739894141
ABC INTERNATIONAL MONTESSORI ACADEMY,MINNESOTA,BLOOMINGTON,MN ,55437,9528811717
ABC JUNCTION LLC,NEW HAMPSHIRE,LITCHFIELD,NH ,03052,6034245620
ABC KINDERGARTEN,TEXAS,TEXARKANA,TX ,75501,9037931453
ABC LEARNING CENTER INC,INDIANA,COLUMBUS,IN ,47201,8123423029
ABC LITTLE SCHOOL,CALIFORNIA,SHERMAN OAKS,CA ,91411,8187860310
ABC LITTLE SCHOOL,CALIFORNIA,STUDIO CITY,CA ,91604,8187665557
ABC LITTLE SCHOOLS - WEST HOLLYWOOD,CALIFORNIA,WEST HOLLYWOOD,CA ,90046,3236549920
ABC MONTESSORI ACADEMY FOR THE BRILLIANT CHILD,GEORGIA,MCDONOUGH,GA ,30253,7709579998
ABC OF NC CHILD DEVELOPMENT CENTER,NORTH CAROLINA,WINSTON SALEM,NC ,27104,3362511180
ABC PLAYHOUSE,CALIFORNIA,TORRANCE,CA ,90504,3103711231
ABC PRESCHOOL & KINDERGARTEN CENTER,NEW YORK,WOODSIDE,NY ,11377,7186722424
ABC SCHOOL HOUSE,CALIFORNIA,BURBANK,CA ,91505,8188428466
ABC VILLAGE,CALIFORNIA,TEMECULA,CA ,92591,9514910940
ABC'S FOR CHILDREN,PENNSYLVANIA,PITTSBURGH,PA ,15220,4123444422
ABCD DAYCARE CENTER,IDAHO,COEUR D'ALENE,ID ,83814,2086645013
ABERCROMBIE ACADEMY,TEXAS,SPRING,TX ,77379,2813700663
ABERDEEN CHRISTIAN SCHOOL ELEMENTARY CAMPUS,SOUTH DAKOTA,ABERDEEN,SD ,57401,6052252053
ABI CHRISTIAN ACADEMY,MINNESOTA,OAKDALE,MN ,55128,6517397686
ABIDING FAITH CHRISTIAN SCHOOL,ARKANSAS,CROSSETT,AR ,71635,8703643844
ABIDING HOPE PRESCHOOL,COLORADO,LITTLETON,CO ,80127,3039329160
ABIDING SAVIOR LUTHERAN SCHOOL,MISSOURI,SAINT LOUIS,MO ,63128,3148924408
ABIDING SAVIOR LUTHERAN SCHOOL,CALIFORNIA,LAKE FOREST,CA ,92630,9498301461
ABIDING SAVIOR SCHOOL,ARIZONA,TEMPE,AZ ,85281,4809499064
ABIDING WORD LUTHERAN SCHOOL,TEXAS,HOUSTON,TX ,77090,2818957048
ABILENE BAPTIST ACADEMY,KANSAS,ABILENE,KS ,67410,7852631032
ABILENE CHRISTIAN SCHOOLS,TEXAS,ABILENE,TX ,79601,3256729200
ABILITIES FIRST,NEW YORK,POUGHKEEPSIE,NY ,12601,8455460774
ABILITY SCHOOL,NEW JERSEY,ENGLEWOOD,NJ ,07631,2018718808
ABINGDON MONTESSORI SCHOOL,MARYLAND,BETHESDA,MD ,20816,8018208646
ABINGTON CHRISTIAN ACADEMY,PENNSYLVANIA,CLARKS GREEN,PA ,18411,5705865270
ABINGTON FRIENDS SCHOOL,PENNSYLVANIA,JENKINTOWN,PA ,19046,2158864350
ABINTRA MONTESSORI SCHOOL,TENNESSEE,NASHVILLE,TN ,37205,6153524317
ABIQUA SCHOOL,OREGON,SALEM,OR ,97302,5033999020
ABLE ACADEMY,FLORIDA,NAPLES,FL ,34104,2393527600
ABNEY CHAPEL CHRISTIAN SCHOOL,NORTH CAROLINA,FAYETTEVILLE,NC ,28301,9104887525
ABOITE CHRISTIAN SCHOOL,INDIANA,ROANOKE,IN ,46783,2606728544
ABRAHAM JOSHUA HESCHEL HIGH SCHOOL,NEW YORK,NEW YORK,NY ,10023,2122467717
ABRAMS HEBREW ACADEMY,PENNSYLVANIA,YARDLEY,PA ,19067,2154931800
ABRAXAS LEADERSHIP DEVELOPMENT PROGRAM,PENNSYLVANIA,SOUTH MOUNTAIN,PA ,17261,7177497440
ABRAXAS LEARNING CENTER,PENNSYLVANIA,ERIE,PA ,16501,8144567225
ABRAXAS PITTSBURGH SCHOOL,PENNSYLVANIA,PITTSBURGH,PA ,15206,4129540018
ABRAXAS YOUTH CENTER,PENNSYLVANIA,SOUTH MOUNTAIN,PA ,17261,7177493066
ABSORBENT MINDS MONTESSORI SCHOOL,OHIO,CUYAHOGA FALLS,OH ,44221,3304143068
ABUNDANT LIFE ACADEMY,OREGON,TOLEDO,OR ,97391,5413364320
ABUNDANT LIFE ACADEMY,UTAH,KANAB,UT ,84741,4352151555
ABUNDANT LIFE ACADEMY,SOUTH CAROLINA,HARDEEVILLE,SC ,29927,8437843171
ABUNDANT LIFE ACADEMY,WISCONSIN,CAMERON,WI ,54822,7154584077
ABUNDANT LIFE ACADEMY,NEW JERSEY,NUTLEY,NJ ,07110,9736679700
ABUNDANT LIFE ACADEMY,NEW YORK,EAST SYRACUSE,NY ,13057,3157019244
ABUNDANT LIFE CHRISTIAN ACADEMY,FLORIDA,MARGATE,FL ,33063,9549792665
ABUNDANT LIFE CHRISTIAN ACADEMY,WISCONSIN,OCONOMOWOC,WI ,53066,2629655177
ABUNDANT LIFE CHRISTIAN ACADEMY,TENNESSEE,BOLIVAR,TN ,38008,7316584979
ABUNDANT LIFE CHRISTIAN ACADEMY,FLORIDA,LARGO,FL ,33779,7278316325
ABUNDANT LIFE CHRISTIAN ACADEMY,WISCONSIN,THORP,WI ,54771,7156695657
ABUNDANT LIFE CHRISTIAN LEARNING TREE HOUSE,KENTUCKY,LAWRENCEBURG,KY ,40342,5028399179
ABUNDANT LIFE CHRISTIAN SCHOOL,NEW JERSEY,WHIPPANY,NJ ,07981,9734639455
ABUNDANT LIFE CHRISTIAN SCHOOL,SOUTH CAROLINA,GREENVILLE,SC ,29611,8642461055
ABUNDANT LIFE CHRISTIAN SCHOOL,WEST VIRGINIA,TRIADELPHIA,WV ,26059,3045474370
ABUNDANT LIFE CHRISTIAN SCHOOL,MASSACHUSETTS,WILMINGTON,MA ,01887,9786578710
ABUNDANT LIFE CHRISTIAN SCHOOL,WISCONSIN,MADISON,WI ,53716,6082211520
ABUNDANT LIFE CHRISTIAN SCHOOL,NEW MEXICO,ALBUQUERQUE,NM ,87121,5058777772
ABUNDANT LIFE OUTREACH MINISTRIES,SOUTH CAROLINA,CAYCE,SC ,29033,8037967303
ABUNDANT LIFE SCHOOL,HAWAII,WAHIAWA,HI ,96786,8086215433
ACACIA ACADEMY,ILLINOIS,LA GRANGE HIGHLANDS,IL ,60525,7085799040
ACACIA MONTESSORI CENTER,CALIFORNIA,COVINA,CA ,91723,6269669356
ACACIAWOOD SCHOOL,CALIFORNIA,ANAHEIM,CA ,92801,7149951800
ACADEME OF THE OAKS,GEORGIA,DECATUR,GA ,30030,4044052173
ACADEMIA DE LA RECTA PORTA ICDS,DISTRICT OF COLUMBIA,WASHINGTON,DC ,20012,2027268737
ACADEMIC ACHIEVEMENT CENTER,FLORIDA,SEFFNER,FL ,33584,8136544198
ACADEMIC BEHAVIORAL ALTERNATIVES,ARIZONA,TEMPE,AZ ,85283,4802393213
ACADEMIC BEHAVIORAL ALTERNATIVES -CHANDLER CAMPUS,ARIZONA,CHANDLER,AZ ,85225,4808127169
ACADEMIC HIGH SCHOOL,FLORIDA,BOCA RATON,FL ,33428,5619290333
ACADEMIC ILLUMINATION DAY SCHOOL,NORTH CAROLINA,CORNELIUS,NC ,28031,7047792164
ACADEMICS PLUS,GEORGIA,EVANS,GA ,30809,7063643169
ACADEMIE CHRETIENNE HAITIENNE D'ORLANDO,FLORIDA,ORLANDO,FL ,32804,4075401800
ACADEMIE DE MONTESSORI,FLORIDA,JACKSONVILLE,FL ,32207,9043983830
ACADEMIR,FLORIDA,MIAMI,FL ,33175,3052259141
ACADEMIR PRESCHOOL LEARNING CENTER,FLORIDA,MIAMI,FL ,33184,3052202205
ACADEMY AT FOXBOROUGH,MASSACHUSETTS,FOXBOROUGH,MA ,02035,5085436500
ACADEMY AT ST ROSE PHILIPPINE DUCHESNE,MISSOURI,FLORISSANT,MO ,63033,3148370369
ACADEMY AT SWIFT RIVER,MASSACHUSETTS,CUMMINGTON,MA ,01026,4136340307
ACADEMY AT THE LAKES,FLORIDA,LAND O LAKES,FL ,34639,8139487600
ACADEMY CHILD DEVELOPMENT CENTER,MARYLAND,ROCKVILLE,MD ,20850,3014249475
ACADEMY FOR ACADEMIC EXCELLENCE,TENNESSEE,CLARKSVILLE,TN ,37043,9316479831
ACADEMY FOR AUTISM,FLORIDA,ORLANDO,FL ,32809,4078522958
ACADEMY FOR CHILDREN CHILDCARE,NORTH DAKOTA,FARGO,ND ,58103,7012800718
ACADEMY FOR EARLY LEARNING,OHIO,CHILLICOTHE,OH ,45601,7407725437
ACADEMY FOR INDIVIDUAL EXCELLENCE,KENTUCKY,LOUISVILLE,KY ,40299,5022676187
ACADEMY FOR KEENER MINDS,TENNESSEE,CLARKSVILLE,TN ,37040,9312491600
ACADEMY FOR KIDS INC,OREGON,CLACKAMAS,OR ,97015,5035588773
ACADEMY FOR LEARNING,NEVADA,LAS VEGAS,NV ,89104,7027378668
ACADEMY FOR LITTLE CHILDREN,RHODE ISLAND,WEST WARWICK,RI ,02893,4018235000
ACADEMY FOR YOUNG CHILDREN TLC,OHIO,HUDSON,OH ,44236,3306552797
ACADEMY HILL SCHOOL,MASSACHUSETTS,SPRINGFIELD,MA ,01104,4137880300
ACADEMY IN MANAYUNK,PENNSYLVANIA,PHILADELPHIA,PA ,19127,2154832461
ACADEMY MONTESSORI INTERNATIONALE,MISSOURI,KANSAS CITY,MO ,64145,8169423307
ACADEMY MONTESSORI PRESCHOOL,NEW MEXICO,ALBUQUERQUE,NM ,87112,5052992527
ACADEMY OF ACADEMIC EXCELLENCE,VIRGINIA,GLEN ALLEN,VA ,23058,8047406500
ACADEMY OF AMHERST JR-SR HIGH SCHOOL,CALIFORNIA,VAN NUYS,CA ,91405,8185037869
ACADEMY OF BASIC LEARNING,CALIFORNIA,LOS ANGELES,CA ,90003,3237771769
ACADEMY OF CHRISTIAN EDUCATION,VIRGINIA,RESTON,VA ,20190,7034715790
ACADEMY OF COASTAL CAROLINA,NORTH CAROLINA,SHALLOTTE,NC ,28459,9107549637
ACADEMY OF EARLY LEARNING,VIRGINIA,VIRGINIA BEACH,VA ,23452,7573407228
ACADEMY OF EARLY LEARNING,MASSACHUSETTS,HYANNIS,MA ,02601,5087908104
ACADEMY OF EXCELLENCE,NORTH CAROLINA,WILMINGTON,NC ,28403,9103433321
ACADEMY OF EXCELLENCE,NORTH CAROLINA,STATESVILLE,NC ,28677,7045004220
ACADEMY OF HIGHER LEARNING MLS,ALASKA,STERLING,AK ,99672,9072607741
ACADEMY OF HOLY ANGELS,MINNESOTA,RICHFIELD,MN ,55423,6127982600
ACADEMY OF HOPE,NORTH CAROLINA,CLAYTON,NC ,27520,9195508181
ACADEMY OF LEARNING,FLORIDA,SANFORD,FL ,32771,4073287265
ACADEMY OF MT ST URSULA,NEW YORK,BRONX,NY ,10458,7183645353
ACADEMY OF NOTRE DAME,MASSACHUSETTS,TYNGSBORO,MA ,01879,9786497611
ACADEMY OF OUR LADY,ILLINOIS,WAUKEGAN,IL ,60085,8476234110
ACADEMY OF OUR LADY,LOUISIANA,MARRERO,LA ,70072,5043416217
ACADEMY OF OUR LADY AT ST CATHARINE,NEW JERSEY,GLEN ROCK,NJ ,07452,2014450622
ACADEMY OF OUR LADY OF GOOD COUNSEL HIGH SCHOOL,NEW YORK,WHITE PLAINS,NY ,10603,9149490178
ACADEMY OF OUR LADY OF GOOD COUNSEL-ELEMENTARY,NEW YORK,WHITE PLAINS,NY ,10603,9147614423
ACADEMY OF OUR LADY OF MERCY - LAURALTON HALL,CONNECTICUT,MILFORD,CT ,06460,2038772786
ACADEMY OF OUR LADY OF PEACE,CALIFORNIA,SAN DIEGO,CA ,92116,6192972266
ACADEMY OF OUR SAVIOUR,FLORIDA,TAMPA,FL ,33615,8138852263
ACADEMY OF ST ADALBERT,OHIO,BEREA,OH ,44017,4402345529
ACADEMY OF ST BARTHOLOMEW,OHIO,MIDDLEBURG HEIGHTS,OH ,44130,4408456660
ACADEMY OF ST BENEDICT THE AFRICAN,ILLINOIS,CHICAGO,IL ,60636,7737763316
ACADEMY OF ST BENEDICT THE AFRICAN-STEWART CAMPUS,ILLINOIS,CHICAGO,IL ,60621,7739946100
ACADEMY OF ST DOROTHY,NEW YORK,STATEN ISLAND,NY ,10305,7183510939
ACADEMY OF ST FRANCIS OF ASSISI,NEW JERSEY,TOTOWA,NJ ,07512,9735688824
ACADEMY OF ST JOSEPH,NEW YORK,NEW YORK,NY ,10014,2122435420
ACADEMY OF ST PRISCILLA AT DIVINE SAVIOR,ILLINOIS,NORRIDGE,IL ,60706,7084520323
ACADEMY OF ST THERESE OF LISIUEX,NEW JERSEY,CRESSKILL,NJ ,07626,2015684296
ACADEMY OF STS PETER & PAUL,MINNESOTA,LORETTO,MN ,55357,7634790540
ACADEMY OF THE HOLY ANGELS,NEW JERSEY,DEMAREST,NJ ,07627,2017687822
ACADEMY OF THE HOLY CROSS,MARYLAND,KENSINGTON,MD ,20895,3019422100
ACADEMY OF THE HOLY FAMILY,CONNECTICUT,BALTIC,CT ,06330,8608229272
ACADEMY OF THE HOLY NAMES,FLORIDA,TAMPA,FL ,33629,8138395371
ACADEMY OF THE HOLY NAMES LOWER & MIDDLE SCHOOL,NEW YORK,ALBANY,NY ,12208,5184387895
ACADEMY OF THE MOST BLESSED SACRAMENT,NEW JERSEY,FRANKLIN LAKES,NJ ,07417,2018914250
ACADEMY OF THE NEW CHURCH BOYS SCHOOL,PENNSYLVANIA,BRYN ATHYN,PA ,19009,2675022568
ACADEMY OF THE NEW CHURCH GIRLS SCHOOL,PENNSYLVANIA,BRYN ATHYN,PA ,19009,2675022568
ACADEMY OF THE PACIFIC,HAWAII,HONOLULU,HI ,96817,8085956359
ACADEMY OF THE SACRED HEART,MISSOURI,SAINT CHARLES,MO ,63301,6369466127
ACADEMY OF THE SACRED HEART,MICHIGAN,BLOOMFIELD HILLS,MI ,48304,2486468900
ACADEMY OF THE SACRED HEART,LOUISIANA,NEW ORLEANS,LA ,70115,5048911943
ACADEMY PREP CENTER OF ST PETERSBURG,FLORIDA,ST PETERSBURG,FL ,33712,7273220800
ACADEMY PREP CENTER OF TAMPA,FLORIDA,TAMPA,FL ,33605,8132485600
ACADEMY PRESCHOOL/KINDERGARTEN,NEW JERSEY,RANDOLPH,NJ ,07869,9735980885
ACADEMY-NOTRE DAME DE NAMUR,PENNSYLVANIA,VILLANOVA,PA ,19085,6106870650
ACADIA CHRISTIAN SCHOOL,MAINE,TRENTON,ME ,04605,2076640182
ACCEL,ARIZONA,PHOENIX,AZ ,85051,6029957366
ACCELERATED SCHOOLS,COLORADO,DENVER,CO ,80210,3037582003
ACCELERATED SCHOOLS OF OVERLAND PARK,KANSAS,OVERLAND PARK,KS ,66211,9133416666
ACCESS ACADEMY,NORTH CAROLINA,CHARLOTTE,NC ,28219,7045214977
ACCESS SCHOOLS,ARKANSAS,LITTLE ROCK,AR ,72211,5012178600
ACCOTINK ACADEMY,FLORIDA,PONTE VEDRA,FL ,32082,9042734267
ACCOTINK ACADEMY,VIRGINIA,SPRINGFIELD,VA ,22152,7034518041
ACCOTINK ALTERNATIVE LEARNING CENTER,VIRGINIA,SPRINGFIELD,VA ,22152,7036449072
ACE ACADEMY,TEXAS,AUSTIN,TX ,78746,5122064070
ACE SCHOOL,CALIFORNIA,SANTA ROSA,CA ,95403,7075270183
ACHIEVE KIDS,CALIFORNIA,SAN JOSE,CA ,95127,4089285777
ACHIEVE KIDS,CALIFORNIA,PALO ALTO,CA ,94303,6504941200
ACHIEVEMENT ACADEMY OF MONROE,TENNESSEE,MADISONVILLE,TN ,37354,4234201821
ACHIEVEMENT CENTER (THE),FLORIDA,SARASOTA,FL ,34236,9413653330
ACHIEVER CHRISTIAN SCHOOL,CALIFORNIA,SAN JOSE,CA ,95125,4082646789
ACHIEVER'S CHRISTIAN ACADEMY,FLORIDA,JENNINGS,FL ,32053,3869384011
ACHIEVERS ACADEMY HIGH SCHOOL,FLORIDA,MIAMI SHORES,FL ,33153,3057591999
ACHIEVERS CENTER FOR EDUCATION,TEXAS,SAN ANTONIO,TX ,78249,2106907359
ACLD TILLOTSON SCHOOL,PENNSYLVANIA,PITTSBURGH,PA ,15227,4123252477
ACORN HILL WALDORF KINDERGARTEN & NURSERY,MARYLAND,SILVER SPRING,MD ,20901,3015652282
ACORN LEARNING CENTER,CALIFORNIA,SAN RAMON,CA ,94582,9257357900
ACORN MONTESSORI SCHOOL,NEW JERSEY,LEBANON,NJ ,08833,9087308986
ACORN SCHOOL INC,NEW HAMPSHIRE,STRATHAM,NH ,03885,6037788285
ACT 1 EDUCATION CENTER,OHIO,ROGERS,OH ,44455,3302279550
ACTION BASED ENTERPRISES SCHOOL,RHODE ISLAND,JOHNSTON,RI ,02919,4017675959
ACTION MONTESSORI ACADEMY,GEORGIA,STONE MOUNTAIN,GA ,30088,7708798331
ACTS ACADEMY,ALABAMA,VALLEY,AL ,36854,3347560674
ACTS CHRISTIAN ACADEMY,NEW MEXICO,FARMINGTON,NM ,87401,5053265149
ACTS CHRISTIAN ACADEMY,CALIFORNIA,OAKLAND,CA ,94621,5105683333
AD FONTAS ACADEMY,VIRGINIA,CENTREVILLE,VA ,20122,5712653143
ADA CHRISTIAN SCHOOL,MICHIGAN,ADA,MI ,49301,6166761289
ADAMS COUNTY CHRISTIAN ACADEMY,PENNSYLVANIA,GETTYSBURG,PA ,17325,7173349177
ADAMS COUNTY CHRISTIAN SCHOOL,OHIO,WEST UNION,OH ,45693,9372174171
ADAMS COUNTY CHRISTIAN SCHOOL,MISSISSIPPI,NATCHEZ,MS ,39120,6014421422
ADAMS MONTESSORI SCHOOL,MASSACHUSETTS,QUINCY,MA ,02169,6177738200
ADAMS PROTESTANT REFORMED CHRISTIAN SCHOOL,MICHIGAN,WYOMING,MI ,49519,6165310748
ADAT ARI EL DAY SCHOOL,CALIFORNIA,VALLEY VILLAGE,CA ,91607,8187664992
ADAT Y'SHUA ACADEMY - WOODLAND HILLS,CALIFORNIA,WOODLAND HILLS,CA ,91365,8182220200
ADDA CLEVENGER JR PREPARATORY & THEATER SCHOOL,CALIFORNIA,SAN FRANCISCO,CA ,94122,4156811140
ADDLESTONE HEBREW ACADEMY,SOUTH CAROLINA,CHARLESTON,SC ,29407,8435711105
ADELPHIAN JUNIOR ACADEMY,MICHIGAN,HOLLY,MI ,48442,2486349481
ADELPHOI VILLAGE ACADEMY AT GALLATIN,PENNSYLVANIA,FAIRCHANCE,PA ,15436,7255642860
ADMIRAL FARRAGUT ACADEMY,FLORIDA,ST PETERSBURG,FL ,33710,7273845502
ADMS-AUBURN DISCOVERY MONTESSORI SCHOOL,CALIFORNIA,AUBURN,CA ,95604,5308239577
ADOBE MONTESSORI SCHOOL,ARIZONA,CHANDLER,AZ ,85226,4808992980
ADOLPH SCHREIBER HEBREW ACADEMY,NEW YORK,MONSEY,NY ,10952,8453571515
ADONAI CHRISTIAN ACADEMY,NORTH CAROLINA,ASHEVILLE,NC ,28801,8282544203
ADONAI TRUE VINE ACADEMY,FLORIDA,MARY ESTHER,FL ,32569,8505810300
ADVANCE LEARNING CENTER,GEORGIA,KINGSLAND,GA ,31548,9128825327
ADVANCED CHRISTIAN TRAINING,CALIFORNIA,PASO ROBLES,CA ,93447,8052390707
ADVENT EPISCOPAL DAY SCHOOL,ALABAMA,BIRMINGHAM,AL ,35203,2052522535
ADVENT HOME LEARNING CENTER,TENNESSEE,CALHOUN,TN ,37309,4233365052
ADVENT LUTHERAN ELEMENTARY SCHOOL,MARYLAND,FOREST HILL,MD ,21050,4108384892
ADVENT LUTHERAN SCHOOL,FLORIDA,BOCA RATON,FL ,33431,5613953631
ADVENT SCHOOL,MASSACHUSETTS,BOSTON,MA ,02108,6177420520
ADVENTIST CHRISTIAN ACADEMY,NORTH CAROLINA,CHARLOTTE,NC ,28211,7043664351
ADVENTIST CHRISTIAN ACADEMY,NORTH CAROLINA,RALEIGH,NC ,27606,9192331300
ADVENTIST CHRISTIAN ACADEMY OF TEXAS,TEXAS,CONROE,TX ,77301,9367565078
ADVENTIST CHRISTIAN ELEMENTARY,INDIANA,BLOOMINGTON,IN ,47408,8123309181
ADVENTIST CHRISTIAN SCHOOL,COLORADO,GREELEY,CO ,80634,9703532770
ADVENTIST CHRISTIAN SCHOOL,CALIFORNIA,YUBA CITY,CA ,95993,5306737645
ADVENTIST CHRISTIAN SCHOOL,OREGON,KLAMATH FALLS,OR ,97601,5418824151
